Tanggal;Harga;Forecast;MAPE
18 Juli 2024;62500;54427,69;12,91569
19 Juli 2024;73500;59070,12;19,63249
20 Juli 2024;72000;69886,43;2,93552
21 Juli 2024;70500;75030,06;6,425622
22 Juli 2024;69000;76780,6;11,27624
23 Juli 2024;74500;76492,1;2,673958
24 Juli 2024;72500;79951,01;10,27726
25 Juli 2024;67500;79021,7;17,06918
26 Juli 2024;67500;71898,56;6,516385
27 Juli 2024;69500;66200,11;4,748046
28 Juli 2024;71500;66054,84;7,615612
29 Juli 2024;73500;68829,95;6,353807
30 Juli 2024;73500;74000,17;0,680498
31 Juli 2024;73500;75892,95;3,255716
01 Agustus 2024;73500;76061,88;3,485548
02 Agustus 2024;63500;75092,02;18,25514
03 Agustus 2024;63500;66481,7;4,695585
04 Agustus 2024;63500;62156,77;2,115322
05 Agustus 2024;63500;60791,27;4,265714
06 Agustus 2024;66000;61744,68;6,447452
07 Agustus 2024;61500;63980,74;4,033717
08 Agustus 2024;61500;62305,19;1,309255
09 Agustus 2024;61500;59583,91;3,115594
10 Agustus 2024;62000;59628,55;3,824922
11 Agustus 2024;62000;60048,05;3,148308
12 Agustus 2024;62500;60678,3;2,914712
13 Agustus 2024;64000;62760,08;1,937373
14 Agustus 2024;64500;63390,87;1,719577
15 Agustus 2024;50000;65253,1;30,5062
16 Agustus 2024;52000;55077,17;5,917634
17 Agustus 2024;52000;51250,91;1,440561
18 Agustus 2024;51500;49174,32;4,515882
19 Agustus 2024;51500;48387,98;6,042765
20 Agustus 2024;46500;49391,72;6,218749
21 Agustus 2024;41500;45952,07;10,72787
22 Agustus 2024;42000;40070,63;4,59374
23 Agustus 2024;40500;39700,57;1,973897
24 Agustus 2024;37500;38503,73;2,676622
25 Agustus 2024;34500;35787,58;3,732119
26 Agustus 2024;31500;32757,27;3,991348
27 Agustus 2024;28500;29501,53;3,514148
28 Agustus 2024;28500;26020,89;8,698615
29 Agustus 2024;31000;24782,23;20,05733
30 Agustus 2024;31500;26946,29;14,45623
31 Agustus 2024;30500;28644,83;6,082532
01 September 2024;29500;29088,36;1,3954
02 September 2024;28500;28920,46;1,475301
03 September 2024;30500;28251,42;7,372392
04 September 2024;30500;29539,14;3,150373
05 September 2024;31500;30456,96;3,311227
06 September 2024;31500;31373,08;0,402909
07 September 2024;32000;31370,86;1,966055
08 September 2024;33000;31713,85;3,897438
09 September 2024;33500;32715,85;2,340737
10 September 2024;33500;34156,29;1,959069
11 September 2024;33000;34429,39;4,331473
12 September 2024;33000;34477,61;4,4776
13 September 2024;33000;33891,13;2,700381
14 September 2024;33000;33181,47;0,549897
15 September 2024;33000;32828,06;0,521043
16 September 2024;33000;32652,65;1,052581
17 September 2024;34000;33045,57;2,807141
18 September 2024;32000;33636,14;5,112942
19 September 2024;33000;33155,62;0,471577
20 September 2024;31500;33105,96;5,09829
21 September 2024;31500;31834,62;1,062293
22 September 2024;31500;31128,61;1,179013
23 September 2024;31500;30785,8;2,267286
24 September 2024;31500;31185,82;0,997382
25 September 2024;31500;30750,55;2,379194
26 September 2024;33000;31670,36;4,029208
27 September 2024;32500;32377,21;0,377819
28 September 2024;32500;32654,31;0,474803
29 September 2024;32500;32661,19;0,495955
30 September 2024;32500;32532,67;0,100522
01 Oktober 2024;31000;32833,03;5,91299
02 Oktober 2024;29500;31386;6,393236
03 Oktober 2024;29500;30653,83;3,911283
04 Oktober 2024;29500;29193,13;1,040226
05 Oktober 2024;29500;28781,15;2,436783
06 Oktober 2024;29500;28623,27;2,971962
07 Oktober 2024;29500;28600,01;3,050808
08 Oktober 2024;29500;28788,57;2,411631
09 Oktober 2024;32750;28697,99;12,37254
10 Oktober 2024;36000;32037,53;11,00685
11 Oktober 2024;38500;35092,37;8,850976
12 Oktober 2024;38500;38522,89;0,059445
13 Oktober 2024;38500;40106,02;4,171479
14 Oktober 2024;38500;40517,03;5,239051
15 Oktober 2024;38500;40459,82;5,09045
16 Oktober 2024;38500;40408,8;4,957925
17 Oktober 2024;38500;40878,77;6,178615
18 Oktober 2024;35500;39646,14;11,67927
19 Oktober 2024;36500;36683,07;0,501559
20 Oktober 2024;37500;35849,84;4,400427
21 Oktober 2024;38500;36223,2;5,91377
22 Oktober 2024;38500;37354,1;2,97637
23 Oktober 2024;36000;38348,02;6,522284
24 Oktober 2024;36000;37890,9;5,252493
25 Oktober 2024;35000;36125,68;3,216241
26 Oktober 2024;35000;35196,18;0,560505
27 Oktober 2024;35000;34558,33;1,261906
28 Oktober 2024;35000;34169,87;2,371808
29 Oktober 2024;34500;33963,8;1,554206
30 Oktober 2024;34500;33605,92;2,591528
31 Oktober 2024;32500;34696,91;6,759722
01 November 2024;32500;32803,5;0,933842
02 November 2024;31500;32406,93;2,879141
03 November 2024;30500;31397,77;2,943495
04 November 2024;29500;30101,95;2,040516
05 November 2024;29500;28666,37;2,82585
06 November 2024;29500;28091,06;4,776082
07 November 2024;29500;28525,59;3,303069
08 November 2024;29500;28589,07;3,087898
09 November 2024;29500;28953,03;1,854131
10 November 2024;29500;29146,36;1,198769
11 November 2024;29500;29191,01;1,047437
12 November 2024;31000;29230,28;5,708773
13 November 2024;31750;30138,37;5,075991
14 November 2024;32500;31594,35;2,786613
15 November 2024;32000;32568,65;1,777043
16 November 2024;31500;32890,07;4,412912
17 November 2024;31000;32543,06;4,977603
18 November 2024;30500;31797,46;4,253958
19 November 2024;30500;31180,32;2,230571
20 November 2024;30500;30389,3;0,36296
21 November 2024;29000;30314,68;4,533377
22 November 2024;29000;28983,75;0,056041
23 November 2024;29000;28564,24;1,502613
24 November 2024;29000;28462,94;1,851947
25 November 2024;29000;28464,98;1,844895
26 November 2024;29000;28785,02;0,741306
27 November 2024;27000;28647,82;6,103025
28 November 2024;29000;27305,62;5,8427
29 November 2024;25000;27949,86;11,79945
30 November 2024;25000;25928,61;3,714448
01 Desember 2024;24500;24772,02;1,110296
02 Desember 2024;24500;23864,34;2,594547
03 Desember 2024;24500;23662,98;3,416406
04 Desember 2024;24500;23219,06;5,228308
05 Desember 2024;26500;23827,32;10,08559
06 Desember 2024;27500;24511,46;10,86741
07 Desember 2024;28000;26840,39;4,141467
08 Desember 2024;29000;28238,3;2,626562
09 Desember 2024;29500;29569,88;0,236865
10 Desember 2024;29500;30556,22;3,580396
11 Desember 2024;29500;30341,31;2,851886
12 Desember 2024;29500;31075,95;5,342191
13 Desember 2024;29500;29756,47;0,869373
14 Desember 2024;29500;29919,69;1,422679
15 Desember 2024;29500;29961,07;1,562938
16 Desember 2024;29500;29860,83;1,223167
17 Desember 2024;36000;29808,49;17,19864
18 Desember 2024;36000;33560,47;6,77647
19 Desember 2024;34000;36756,39;8,10702
20 Desember 2024;38500;35594,08;7,547832
21 Desember 2024;38500;38455,76;0,114902
22 Desember 2024;38500;39951,54;3,770233
23 Desember 2024;38500;40445,39;5,052963
24 Desember 2024;35000;41670,42;19,05836
25 Desember 2024;35000;37217,91;6,336881
26 Desember 2024;35000;35510,62;1,458903
27 Desember 2024;38500;34856,54;9,463542
28 Desember 2024;39500;36336,67;8,00843
29 Desember 2024;40000;38306,47;4,233826
30 Desember 2024;41000;39903,39;2,674647
31 Desember 2024;41000;41938,03;2,287886
01 Januari 2025;41000;41863,17;2,105302
02 Januari 2025;41500;42200,15;1,68711
03 Januari 2025;62000;43274,23;30,20286
04 Januari 2025;63000;55316,5;12,19602
05 Januari 2025;64000;63077,06;1,442088
06 Januari 2025;65000;67951,38;4,54058
07 Januari 2025;66500;71042,62;6,831002
08 Januari 2025;66500;71587,16;7,649862
09 Januari 2025;67000;71963,5;7,408214
10 Januari 2025;67500;76981,01;14,04595
11 Januari 2025;67000;69696,09;4,024017
12 Januari 2025;67000;66824,65;0,26172
13 Januari 2025;66500;66412,83;0,131079
14 Januari 2025;65000;66919,72;2,953415
15 Januari 2025;67500;65265,75;3,310007
16 Januari 2025;67500;66946,72;0,819669
17 Januari 2025;67500;72223,69;6,998057
18 Januari 2025;67000;67445,94;0,665578
19 Januari 2025;69000;65580,02;4,956489
20 Januari 2025;70000;66696,61;4,719129
21 Januari 2025;52000;68908,52;32,51639
22 Januari 2025;52000;58538,9;12,57482
23 Januari 2025;52000;52420,71;0,809051
24 Januari 2025;51000;52058,83;2,076133
25 Januari 2025;51000;47251,48;7,35003
26 Januari 2025;51000;46016,03;9,772492
27 Januari 2025;51000;46135,16;9,538903
28 Januari 2025;51000;45103,8;11,56117
29 Januari 2025;51000;49089,07;3,746919
30 Januari 2025;56000;51037,68;8,86129
31 Januari 2025;56000;57352,34;2,414886
01 Februari 2025;56500;56993,05;0,872661
02 Februari 2025;56500;57002,11;0,888691
03 Februari 2025;57000;56637,14;0,636589
04 Februari 2025;62500;54737,35;12,42023
05 Februari 2025;62500;61088,63;2,258187
06 Februari 2025;60500;65390,75;8,083881
07 Februari 2025;60500;66558,85;10,01463
08 Februari 2025;60500;63652,24;5,210307
09 Februari 2025;60500;61611,09;1,836504
10 Februari 2025;60500;60263,6;0,390741
11 Februari 2025;57500;58470,57;1,687945
12 Februari 2025;57500;57424,6;0,131137
13 Februari 2025;57500;57733,94;0,406844
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
